"longitude";"latitude";"delivery_company_id";"id"
"";"";"13";"2388"
"";"";"13";"2392"
"60.649424";"56.821020";"1";"5699"
"60.644051";"56.843219";"12";"1477"
"";"";"13";"2398"
"";"";"13";"2406"
"";"";"13";"2413"
"";"";"13";"2416"
"";"";"13";"3932"
"";"";"13";"2425"
"60.624326";"56.798201";"1";"5889"
"37.874616";"55.743877";"1";"4815"
"";"";"13";"2428"
"";"";"13";"2429"
"";"";"13";"2433"
"";"";"13";"2432"
"37.518228";"55.806413";"1";"4668"
"37.507008";"55.623625";"1";"6093"
"";"";"13";"3934"
"";"";"13";"2436"
"";"";"13";"2437"
"";"";"13";"2441"
"";"";"13";"6684"
"";"";"12";"1859"
"58.984891";"53.421563";"1";"5894"
"";"";"13";"2443"
"";"";"13";"2442"
"";"";"13";"2444"
"38.445630";"55.777277";"12";"4658"
"";"";"13";"2448"
"";"";"13";"2658"
"";"";"13";"2322"
"";"";"13";"4688"
"";"";"13";"2452"
"33.395100";"67.562100";"12";"2015"
"60.584287";"56.828611";"12";"7671"
"60.614722";"56.892020";"12";"1451"
"38.314387";"53.967346";"12";"5096"
"";"";"12";"1978"
"60.106860";"55.046161";"1";"5995"
"";"";"13";"5416"
"60.610051";"56.809901";"12";"5667"
"";"";"13";"2455"
"38.251540";"54.344433";"12";"5093"
"";"";"13";"2457"
"";"";"13";"2690"
"38.288829";"54.016120";"12";"5102"
"37.626088";"53.932596";"12";"5073"
"";"";"13";"3011"
"";"";"13";"2461"
"82.870950";"54.991232";"1";"7652"
"142.753572";"46.934049";"1";"5996"
"";"";"13";"3797"
"37.426878";"55.886736";"1";"701"
"";"";"13";"2465"
"82.910009";"55.059332";"1";"7653"
"39.870260";"57.637665";"1";"690"
"37.517275";"54.004146";"12";"5077"
"37.605247";"55.721828";"1";"4598"
"";"";"13";"2468"
"";"";"13";"2478"
"";"";"13";"2479"
"";"";"12";"1261"
"";"";"13";"2486"
"39.186157";"51.695629";"1";"630"
"";"";"13";"2485"
"43.952410";"56.314342";"1";"7654"
"44.492648";"48.692392";"1";"7655"
"92.863019";"56.014152";"12";"1583"
"";"";"13";"2487"
"";"";"13";"4713"
"60.705874";"56.755008";"12";"5052"
"46.007428";"51.542975";"1";"669"
"";"";"13";"2490"
"";"";"13";"2492"
"";"";"13";"4204"
"";"";"13";"4019"
"43.038493";"44.053445";"1";"665"
"";"";"13";"2187"
"";"";"13";"4020"
"";"";"13";"2491"
"30.334607";"60.050273";"1";"4814"
"";"";"13";"2493"
"";"";"13";"2494"
"";"";"13";"2497"
"";"";"13";"2797"
"";"";"12";"1214"
"";"";"13";"2234"
"";"";"13";"2241"
"";"";"13";"2500"
"";"";"13";"2501"
"";"";"13";"2504"
"";"";"13";"3996"
"";"";"13";"4021"
"";"";"13";"2200"
"";"";"13";"4208"
"";"";"13";"2503"
"36.177582";"51.772931";"12";"4666"
"37.633410";"55.756898";"1";"4599"
"";"";"13";"4027"
"";"";"13";"2722"
"37.817708";"55.714080";"1";"2048"
"";"";"13";"2506"
"";"";"13";"4210"
"";"";"13";"2171"
"30.323567";"59.927062";"1";"4605"
"73.375040";"54.930968";"1";"659"
"";"";"12";"4903"
"";"";"13";"2515"
"101.626985";"56.136023";"1";"624"
"";"";"13";"2294"
"60.583480";"56.885709";"10";"1083"
"60.003383";"57.925403";"1";"655"
"37.639008";"55.809634";"10";"819"
"";"";"13";"2508"
"";"";"13";"2723"
"";"";"13";"3441"
"60.079210";"57.241849";"1";"703"
"";"";"12";"4904"
"135.052780";"48.476489";"10";"1160"
"136.989840";"50.552050";"10";"1971"
"";"";"13";"3445"
"37.730913";"55.711422";"1";"1835"
"30.526909";"56.346561";"12";"5466"
"";"";"13";"3444"
"";"";"13";"3449"
"";"";"12";"4868"
"";"";"13";"3460"
"";"";"13";"3462"
"";"";"13";"7236"
"";"";"12";"4907"
"158.534897";"53.133821";"12";"1886"
"55.977798";"54.728087";"1";"684"
"";"";"12";"4908"
"";"";"13";"3491"
"";"";"13";"3503"
"";"";"13";"3519"
"";"";"13";"4115"
"";"";"12";"4909"
"";"";"12";"4910"
"";"";"13";"4111"
"";"";"13";"3527"
"";"";"13";"3525"
"";"";"13";"3524"
"";"";"13";"3528"
"";"";"13";"4279"
"";"";"13";"4281"
"";"";"13";"4112"
"";"";"13";"3106"
"37.879243";"55.743223";"1";"4603"
"";"";"12";"4912"
"";"";"13";"3729"
"";"";"13";"4116"
"";"";"13";"3536"
"";"";"13";"3538"
"";"";"13";"4305"
"";"";"13";"4306"
"37.637010";"55.754359";"10";"5485"
"";"";"12";"1921"
"";"";"13";"4118"
"48.033772";"46.346737";"1";"619"
"";"";"13";"4119"
"";"";"13";"2206"
"";"";"13";"3541"
"";"";"13";"3554"
"";"";"13";"3758"
"83.795218";"53.336754";"1";"620"
"";"";"13";"2243"
"";"";"13";"2477"
"";"";"13";"2330"
"";"";"13";"3548"
"";"";"13";"4122"
"";"";"13";"4125"
"";"";"13";"3547"
"";"";"12";"1629"
"";"";"12";"1633"
"43.945421";"56.231249";"10";"5490"
"";"";"13";"4132"
"59.933910";"57.914420";"12";"4900"
"65.329359";"55.432904";"1";"646"
"";"";"13";"4329"
"";"";"13";"3756"
"";"";"13";"3131"
"";"";"13";"3563"
"";"";"13";"4327"
"60.151353";"55.150504";"1";"650"
"";"";"13";"4128"
"30.587400";"64.583400";"12";"1985"
"59.948523";"56.916222";"1";"4680"
"";"";"13";"3564"
"";"";"13";"3567"
"";"";"13";"4333"
"58.975566";"53.364219";"1";"649"
"";"";"13";"3100"
"60.735362";"56.089686";"1";"719"
"";"";"13";"3585"
"";"";"13";"3583"
"";"";"13";"3754"
"";"";"13";"4142"
"";"";"13";"4138"
"37.604044";"55.766766";"10";"788"
"37.648644";"55.668291";"10";"749"
"46.007407";"51.537215";"10";"1055"
"37.357716";"55.835400";"10";"770"
"";"";"12";"4805"
"86.090036";"55.342693";"1";"640"
"";"";"13";"3152"
"";"";"13";"3587"
"50.221029";"53.263966";"10";"970"
"";"";"13";"4143"
"";"";"13";"2962"
"";"";"13";"3588"
"";"";"13";"3595"
"";"";"13";"4150"
"";"";"13";"3610"
"";"";"13";"4318"
"";"";"13";"4368"
"50.164132";"53.217597";"10";"972"
"";"";"12";"1265"
"";"";"13";"3448"
"60.605105";"56.786003";"10";"5492"
"46.640400";"61.239100";"12";"4793"
"";"";"13";"2555"
"";"";"13";"2978"
"";"";"13";"3050"
